cluster_6
alexa_has_adult_content;alexa_lang;alexa_links_in;alexa_load_time;alexa_rank;alexa_rank_dk;cms;external_links_count;facebook_share;has_analytics;has_content_business;has_content_film;has_content_food;has_content_games;has_content_health;has_content_music;has_content_news;has_content_shop;has_content_sport;has_content_technology;has_content_transport;has_content_xxx;has_description;has_js_angular;has_js_backbone;has_js_dojo;has_js_ember;has_js_handlebars;has_js_jquery;has_js_knockout;has_js_modernizr;has_js_mootools;has_js_prototype;has_js_underscore;has_keywords;html5;html5_tags;id;img_count;internal_links_count;page_rank;server;title_tag;twitter_share;xhtml
1;37;2.40972570365;10.6296855389;41.1642160524;44.1680799205;1287;6.2444910808;9;90;26;20;14;5;18;9;143;102;11;11;60;2;37;0;0;0;0;0;122;0;2;1;0;0;16;115;1.55623100304;165553.0;4.03739837398;3.40707964602;61.0636117137;694;142;1;7
0;0;0.0168512286968;0.0743334653071;0.287861650716;0.308867691752;9;0.0436677697958;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010882734287;1157.71328671;0.0282335550628;0.0238257317903;0.427018263732;4;0;0;0
0;0;0.00200529972069;0.0812743025205;0.518558980493;0.254120328002;11;0.00419727177335;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.0;1537.0;0.00162601626016;0.0;0.5;3;1;0;0
0.0;0.0;0.0691355646816;0.0432464456846;0.170218984339;0.170560062797;2.64575131106;0.055813060263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0197651352076;711.901517727;0.0319915770619;0.040414347408;0.221789181831;6.32455532034;0.0;0.0;0.0
cluster_7
alexa_has_adult_content;alexa_lang;alexa_links_in;alexa_load_time;alexa_rank;alexa_rank_dk;cms;external_links_count;facebook_share;has_analytics;has_content_business;has_content_film;has_content_food;has_content_games;has_content_health;has_content_music;has_content_news;has_content_shop;has_content_sport;has_content_technology;has_content_transport;has_content_xxx;has_description;has_js_angular;has_js_backbone;has_js_dojo;has_js_ember;has_js_handlebars;has_js_jquery;has_js_knockout;has_js_modernizr;has_js_mootools;has_js_prototype;has_js_underscore;has_keywords;html5;html5_tags;id;img_count;internal_links_count;page_rank;server;title_tag;twitter_share;xhtml
2;28;5.55733008666;21.3336818274;58.3838141469;57.0210939516;2176;23.8016789087;16;147;95;82;37;14;36;42;274;241;16;51;247;0;250;0;0;0;0;0;112;0;12;5;1;0;218;88;0.73556231003;338538.0;11.4308943089;5.77089478859;155.057863341;881;272;5;9
0;0;0.0202822265936;0.0778601526547;0.213079613675;0.208106182305;7;0.0868674412727;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00268453397821;1235.54014599;0.0417185923684;0.0210616598124;0.565904610732;3;0;0;0
0;0;0.00329442096971;0.0812743025205;0.20761671383;0.254120328002;11;0.0451206715635;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.0;2048.0;0.0146341463415;0.0;0.5;1;1;0;0
0.0;0.0;0.0350926421499;0.0486171616902;0.161010894567;0.170942391114;3.87298334621;0.0914386265953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00867758215416;673.718004152;0.0455161347031;0.0361404098093;0.181390434761;5.56776436283;0.0;0.0;0.0
cluster_4
alexa_has_adult_content;alexa_lang;alexa_links_in;alexa_load_time;alexa_rank;alexa_rank_dk;cms;external_links_count;facebook_share;has_analytics;has_content_business;has_content_film;has_content_food;has_content_games;has_content_health;has_content_music;has_content_news;has_content_shop;has_content_sport;has_content_technology;has_content_transport;has_content_xxx;has_description;has_js_angular;has_js_backbone;has_js_dojo;has_js_ember;has_js_handlebars;has_js_jquery;has_js_knockout;has_js_modernizr;has_js_mootools;has_js_prototype;has_js_underscore;has_keywords;html5;html5_tags;id;img_count;internal_links_count;page_rank;server;title_tag;twitter_share;xhtml
16;79;5.55689210005;40.5051333921;138.561267587;133.959823695;5437;0.0713536201469;0;4;3;2;0;0;1;1;19;2;0;1;4;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.00911854103343;597785.0;0.118699186992;0.0884955752212;206.013720174;10309;14;0;6
0;0;0.011203411492;0.0816635753873;0.279357394329;0.270080289707;10;0.000143858105135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.83841553093e-05;1205.21169355;0.000239312877;0.00017841849843;0.415350242285;20;0;0;0
0;0;0.00100264986035;0.0812743025205;0.254977319133;0.254120328002;11;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;2.0;0.0;0.0;0.375;22;0;0;0
0.0;0.0;0.0280794974527;0.0638486031378;0.179233893322;0.157123332767;1.0;0.00163395781412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000409021634375;693.472370737;0.00294608583535;0.00213831462263;0.181089804389;4.69041575982;0.0;0.0;0.0
cluster_5
alexa_has_adult_content;alexa_lang;alexa_links_in;alexa_load_time;alexa_rank;alexa_rank_dk;cms;external_links_count;facebook_share;has_analytics;has_content_business;has_content_film;has_content_food;has_content_games;has_content_health;has_content_music;has_content_news;has_content_shop;has_content_sport;has_content_technology;has_content_transport;has_content_xxx;has_description;has_js_angular;has_js_backbone;has_js_dojo;has_js_ember;has_js_handlebars;has_js_jquery;has_js_knockout;has_js_modernizr;has_js_mootools;has_js_prototype;has_js_underscore;has_keywords;html5;html5_tags;id;img_count;internal_links_count;page_rank;server;title_tag;twitter_share;xhtml
15;84;12.9488565776;45.724630809;171.25369068;165.207479576;6285;25.3179433368;32;338;140;97;32;29;52;46;645;107;26;50;185;13;420;0;1;0;0;0;193;0;27;10;6;0;236;169;1.63373860182;762918.0;17.4682926829;9.93608652901;294.282266811;2083;640;16;35
0;0;0.0200757466319;0.0708909004791;0.265509597953;0.256135627249;9;0.0392526253284;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00253292806484;1182.81860465;0.0270826243146;0.0154047853163;0.456251576452;3;0;0;0
0;0;0.000501324930173;0.0812743025205;0.0;0.254120328002;11;0.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.5;1;1;0;0
0.0;0.0;0.0655114303723;0.0440966606962;0.171168869756;0.151599399748;2.44948974278;0.0487065208315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0102697879241;692.743835309;0.0511464059628;0.0344749215423;0.230797293413;4.79583152331;0.0;0.0;0.0
cluster_2
alexa_has_adult_content;alexa_lang;alexa_links_in;alexa_load_time;alexa_rank;alexa_rank_dk;cms;external_links_count;facebook_share;has_analytics;has_content_business;has_content_film;has_content_food;has_content_games;has_content_health;has_content_music;has_content_news;has_content_shop;has_content_sport;has_content_technology;has_content_transport;has_content_xxx;has_description;has_js_angular;has_js_backbone;has_js_dojo;has_js_ember;has_js_handlebars;has_js_jquery;has_js_knockout;has_js_modernizr;has_js_mootools;has_js_prototype;has_js_underscore;has_keywords;html5;html5_tags;id;img_count;internal_links_count;page_rank;server;title_tag;twitter_share;xhtml
10;53;7.74869297429;41.2144382809;122.301180815;122.188352006;5021;56.7806925498;38;455;141;170;80;73;316;101;506;423;201;93;442;37;470;0;0;3;0;0;198;0;9;27;19;0;384;115;1.30547112462;642749.0;33.325203252;30.5113077679;225.582158351;1685;505;10;8
0;0;0.0153136224788;0.0814514590532;0.24170193837;0.241478956533;9;0.112214807411;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257998245972;1270.25494071;0.0658600854783;0.0602990272094;0.445814542196;3;0;0;0
0;0;0.00214853541503;0.0812743025205;1.0;0.254120328002;11;0.01259181532;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.0;3.0;0.0487804878049;0.0;0.375;3;1;0;0
0.0;0.0;0.0559821229275;0.0472273702605;0.172381351383;0.171006817551;2.44948974278;0.132591358455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0135370482006;705.312960156;0.0789933977147;0.111591455632;0.197976352353;4.24264068712;0.0;0.0;0.0
cluster_3
