@RELATION data

@ATTRIBUTE alexa_has_adult_content string
@ATTRIBUTE alexa_lang string
@ATTRIBUTE alexa_links_in string
@ATTRIBUTE alexa_load_time string
@ATTRIBUTE alexa_rank string
@ATTRIBUTE alexa_rank_dk string
@ATTRIBUTE cms string
@ATTRIBUTE external_links_count string
@ATTRIBUTE facebook_share string
@ATTRIBUTE has_analytics string
@ATTRIBUTE has_content_business string
@ATTRIBUTE has_content_film string
@ATTRIBUTE has_content_food string
@ATTRIBUTE has_content_games string
@ATTRIBUTE has_content_health string
@ATTRIBUTE has_content_music string
@ATTRIBUTE has_content_news string
@ATTRIBUTE has_content_shop string
@ATTRIBUTE has_content_sport string
@ATTRIBUTE has_content_technology string
@ATTRIBUTE has_content_transport string
@ATTRIBUTE has_content_xxx string
@ATTRIBUTE has_description string
@ATTRIBUTE has_js_angular string
@ATTRIBUTE has_js_backbone string
@ATTRIBUTE has_js_dojo string
@ATTRIBUTE has_js_ember string
@ATTRIBUTE has_js_handlebars string
@ATTRIBUTE has_js_jquery string
@ATTRIBUTE has_js_knockout string
@ATTRIBUTE has_js_modernizr string
@ATTRIBUTE has_js_mootools string
@ATTRIBUTE has_js_prototype string
@ATTRIBUTE has_js_underscore string
@ATTRIBUTE has_keywords string
@ATTRIBUTE html5 string
@ATTRIBUTE html5_tags string
@ATTRIBUTE img_count string
@ATTRIBUTE internal_links_count string
@ATTRIBUTE page_rank string
@ATTRIBUTE server string
@ATTRIBUTE title_tag string
@ATTRIBUTE twitter_share string
@ATTRIBUTE url string
@ATTRIBUTE xhtml string

@DATA
0,?,11,?,1349986,3329,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,?,0,0,http://www.strikkekunsten.dk,0
0,?,35,1231,212972,827,UNKNOWN,136,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,3,1,MICROSOFT-IIS/6.0,1,0,http://www.just-half-price.dk,0
0,da-DK,134,1733,788180,3119,UNKNOWN,17,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,132,4,APACHE,1,0,http://www.dancenter.dk,0
0,da-DK,71,1453,460415,2778,UNKNOWN,47,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,28,3,MICROSOFT-IIS/7.5,1,0,http://www.billigsport24.dk,0
0,?,64,1228,29156,262,UNKNOWN,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,MICROSOFT-IIS/7.5,1,0,http://www.moviestarplanet.dk,0
0,da-DK,19,?,1286573,4836,UNKNOWN,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,3,'APACHE/2.2.14 (FEDORA)',1,0,http://www.bolignet.dk,0
0,?,27,?,290577,1238,WORDPRESS,16,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,14,17,2,LITESPEED,1,0,http://www.babyalarm-test.dk,0
0,?,92,492,60554,135,UNKNOWN,20,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,NGINX,1,0,http://www.travian.dk,0
0,da-DK,68,1110,661128,6633,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?,0,0,http://www.rhs.dk,0
0,?,40,919,1100081,?,WORDPRESS,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,73,3,APACHE,1,0,http://www.podspeakers.dk,0
0,da-DK,150,4035,1358014,8365,SHAREPOINT,45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,5,MICROSOFT-IIS/7.5,1,0,http://www.hjv.dk,0
0,da,54,210,160539,545,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,0,0,http://www.danlon.dk,0
0,?,32,?,723431,2829,TYPO3,80,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,'APACHE/2.2.23 (UNIX) MOD_SSL/2.2.23 OPENSSL/1.0.1E MOD_AUTH_PASSTHROUGH/2.1 MOD_BWLIMITED/1.4 FRONTPAGE/5.0.2.2635',1,0,http://www.dentalklinikken.dk,0
0,?,458,3057,77703,314,UNKNOWN,13,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,155,4,MICROSOFT-IIS/7.5,1,0,http://www.miinto.dk,0
0,da-DK,106,646,1057782,6922,UNKNOWN,20,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,0,6,MICROSOFT-IIS/7.5,1,0,http://www.nemkonto.dk,0
0,?,87,?,974757,?,UNKNOWN,206,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,37,7,5,'APACHE/2.2.21 (WIN32) MOD_JK/1.2.32',1,0,http://www.energy-supply.dk,0
0,da-DK,499,1576,166580,1241,UNKNOWN,113,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,6,MICROSOFT-IIS/7.5,1,0,http://www.gyldendal.dk,0
0,da-DK,192,4235,137068,521,DRUPAL,270,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,7,5,'APACHE/2.2.22 (EL)',1,0,http://www.folketidende.dk,0
0,da-DK,671,898,61786,275,UNKNOWN,148,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,11,5,'CONCEALED BY JUNIPER NETWORKS DX',1,0,http://www.comon.dk,0
0,en,66,1445,663423,2544,WORDPRESS,9,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,66,3,'APACHE/1.3.42 (UNIX) PHP/5.2.13',1,0,http://www.go-fishing.dk,0
0,en,514,1808,578956,?,WORDPRESS,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,13,5,APACHE,1,0,http://www.padowan.dk,0
0,da-DK,317,1829,92311,327,UNKNOWN,52,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,70,6,APACHE,1,0,http://www.stepstone.dk,0
0,da-DK,133,932,1281137,6269,UNKNOWN,44,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,7,5,MICROSOFT-IIS/7.5,1,0,http://www.pfa.dk,0
0,da-DK,147,1652,321824,1894,UNKNOWN,57,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,4,5,?,1,0,http://www.rd.dk,0
0,da-DK,49,697,1050963,3556,UNKNOWN,136,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,30,3,MICROSOFT-IIS/7.0,1,0,http://www.internetstart.dk,0
0,?,45,1968,133705,757,WORDPRESS,31,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,32,8,132,3,APACHE,1,0,http://www.techmind.dk,0
0,?,57,?,335146,3051,UNKNOWN,19,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,4,4,4,MICROSOFT-IIS/7.5,1,0,http://www.cmore.dk,0
0,da-DK,33,1765,977927,4676,UNKNOWN,73,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17,0,5,MICROSOFT-IIS/7.5,1,0,http://www.husvild.dk,0
0,?,144,?,710863,8260,WORDPRESS,10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,121,5,'APACHE/2.2.12 (LINUX/SUSE)',1,0,http://www.iprospect.dk,0
0,en,492,1079,73225,290,UNKNOWN,49,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,57,6,MICROSOFT-IIS/6.0,1,0,http://www.sas.dk,0
