cms;;;;has_analytics;;;;has_js_jquery;;;;html5;;;;html5_tags;;;;id;;;;server;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
4215;8.98720682303;11.0;2.97821630657;469;1.0;1.0;0.0;216;0.460554371002;0.0;0.498441613785;469;1.0;1.0;0.0;7.49392097264;0.0159785095366;0.0;0.0552743043564;543161.0;1158.12579957;3.0;709.954251774;1466;3.12579957356;3.0;4.71435177237;
8132;9.44483159117;11.0;2.79676050792;861;1.0;1.0;0.0;366;0.425087108014;0.0;0.494356206206;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1061901.0;1233.33449477;12.0;709.044776009;2817;3.27177700348;3.0;4.47893562378;
9402;10.3318681319;11.0;2.06002662529;0;0.0;0.0;0.0;136;0.149450549451;0.0;0.356532022011;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1118165.0;1228.75274725;2.0;681.993990957;11862;13.0351648352;22.0;9.88109943639;
1609;8.6972972973;11.0;2.74802007216;0;0.0;0.0;0.0;64;0.345945945946;0.0;0.475675675676;185;1.0;1.0;0.0;4.07142857143;0.0220077220077;0.0;0.0559765629112;218298.0;1179.98918919;1.0;711.56319724;752;4.06486486486;3.0;5.55426382191;
