cms;;;;has_analytics;;;;has_js_jquery;;;;html5;;;;html5_tags;;;;id;;;;server;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
7374;9.62663185379;11.0;2.4359193905;654;0.853785900783;1.0;0.353320727395;604;0.788511749347;1.0;0.408363772253;126;0.164490861619;0.0;0.370720404163;1.2462006079;0.001626893744;0.0;0.00859146335727;939298.0;1226.23759791;8.0;693.345246058;2270;2.9634464752;3.0;2.97135508583;
968;10.2978723404;11.0;1.84408073873;94;1.0;1.0;0.0;0;0.0;0.0;0.0;8;0.0851063829787;0.0;0.279039937204;0.00151975683891;1.61676259458e-05;0.0;0.000155914938256;121886.0;1296.65957447;80.0;662.091858273;993;10.5638297872;22.0;9.68059971617;
3107;9.44376899696;11.0;3.06624416377;297;0.90273556231;1.0;0.296317510199;69;0.209726443769;0.0;0.407113328882;329;1.0;1.0;0.0;6.16109422492;0.0187267301669;0.0;0.0647687339556;375293.0;1140.70820669;3.0;713.728252348;734;2.23100303951;1.0;3.80227246441;
1443;8.15254237288;11.0;3.46807991288;3;0.0169491525424;0.0;0.129080900099;17;0.0960451977401;0.0;0.294653216054;16;0.090395480226;0.0;0.286747515038;0.00607902735562;3.43447873199e-05;0.0;0.000225867574021;226040.0;1277.06214689;6.0;692.785902622;259;1.46327683616;1.0;1.28443814672;
1575;9.60365853659;11.0;3.08145298013;164;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205850.0;1255.18292683;12.0;712.52072504;164;1.0;1.0;0.0;
576;5.28440366972;3.0;2.17192994598;97;0.889908256881;1.0;0.313004075399;0;0.0;0.0;0.0;21;0.192660550459;0.0;0.394388720371;0.135258358663;0.00124090237305;0.0;0.00460397083616;129874.0;1191.50458716;15.0;753.325174666;323;2.96330275229;3.0;0.300659992811;
1054;8.432;11.0;2.58715596747;21;0.168;0.0;0.373866286258;85;0.68;1.0;0.466476151588;125;1.0;1.0;0.0;4.00303951368;0.0320243161094;0.0;0.0655518677577;142234.0;1137.872;11.0;743.785560236;763;6.104;3.0;7.32865499256;
7261;10.984871407;11.0;0.388660592395;0;0.0;0.0;0.0;7;0.0105900151286;0.0;0.10236145128;29;0.0438729198185;0.0;0.204812320735;0.0121580547112;1.83934261895e-05;0.0;0.000166178269083;801050.0;1211.87594554;1.0;682.423759356;11391;17.2329803328;22.0;8.25777230079;
