"alexa_links_in";"alexa_load_time";"alexa_rank";"alexa_rank_dk";"external_links_count";"img_count";"internal_links_count";"page_rank";"has_description";"has_keywords";"title_tag";"id";"cluster"
0.0038673637470457638;0.1306476287608363;0.2925126801927676;0.2541203280017399;0.0;0.0016260162601626016;0.0;0.875;"0";"0";"1";1.0;"cluster_2"
0.00415383513571582;0.05680775114737379;0.37768935150413174;0.2541203280017399;0.0;0.0;0.0;0.5;"0";"0";"0";2.0;"cluster_4"
5.729427773401132E-4;0.08127430252049657;0.7707656332846947;0.66095043085061;0.18048268625393493;0.07154471544715447;0.003933136676499509;0.375;"1";"1";"1";3.0;"cluster_6"
2.1485354150254244E-4;0.08127430252049657;0.5276494374521095;0.18326081392372665;0.0;0.0;0.0;0.46643167028199567;"0";"0";"0";4.0;"cluster_4"
2.1485354150254244E-4;0.08127430252049657;0.5364971225635359;0.36063475812643975;0.0;0.0;0.0;0.0;"0";"0";"0";5.0;"cluster_4"
0.002864713886700566;0.08127430252049657;0.17433716120472156;0.09495776810852316;0.0944386149003148;0.04065040650406504;0.00688298918387414;0.375;"1";"0";"1";6.0;"cluster_2"
0.0060875170092387024;0.10520142784293728;0.1955291203988202;0.2433239484685607;0.016789087093389297;0.12032520325203253;0.22517207472959685;0.625;"0";"0";"1";7.0;"cluster_2"
0.001002649860345198;0.08127430252049657;0.2820410368718173;0.2813753092739527;0.0031479538300104933;0.03577235772357724;0.0688298918387414;0.125;"0";"0";"1";8.0;"cluster_6"
0.5992981450977584;0.07251402345741968;0.18142180006895395;0.2541203280017399;0.04407135362014691;0.011382113821138212;9.832841691248771E-4;0.46643167028199567;"1";"1";"1";9.0;"cluster_1"
0.0022917711093604527;0.08127430252049657;0.3360805328167688;0.34357136763074825;0.09233997901364113;0.016260162601626018;0.0029498525073746312;0.5;"0";"0";"1";10.0;"cluster_6"
0.0037957458998782497;0.1350841407445181;0.3972607243199227;0.29920655234195037;0.3252885624344176;0.2959349593495935;0.0;0.5;"0";"0";"1";11.0;"cluster_6"
0.014251951586335314;0.035390107088220296;0.3611623207977078;0.2654210391604812;0.16684155299055614;0.061788617886178863;0.010816125860373648;0.625;"0";"0";"1";12.0;"cluster_6"
0.002148535415025424;0.03166751657317695;0.17732460366231448;0.17344936438870404;0.09758656873032528;0.013008130081300813;0.012782694198623401;0.5;"1";"1";"1";13.0;"cluster_1"
0.04870013607390962;0.07001529831718512;0.10955332508920601;0.0748229673236072;0.08499475341028331;0.02926829268292683;0.004916420845624385;0.75;"0";"1";"1";14.0;"cluster_2"
0.030652438587696052;0.098419173890872;0.1930031973389508;0.16764781162016892;0.026232948583420776;0.0065040650406504065;0.0;0.5;"1";"0";"1";15.0;"cluster_2"
0.0511351428776051;0.20489546149923507;0.26463733004916973;0.20732019452265166;0.11122770199370409;0.024390243902439025;0.012782694198623401;0.75;"1";"0";"1";16.0;"cluster_2"
0.012819594642985032;0.08127430252049657;0.22411887728135993;0.2541203280017399;0.03882476390346275;0.03902439024390244;0.02753195673549656;0.625;"1";"0";"1";17.0;"cluster_2"
0.0027214781923655374;0.0971443141254462;0.5099039112399151;0.2541203280017399;0.02833158447009444;0.024390243902439025;0.00688298918387414;0.375;"1";"0";"1";18.0;"cluster_6"
0.008092816729929099;0.04431412544620092;0.18372602522635526;0.14751301083525298;0.0;0.0;0.0;0.5;"0";"0";"0";19.0;"cluster_0"
0.005944281314903674;0.08127430252049657;0.36189906591845733;0.33384523504820407;0.0;0.0;0.0;0.5;"0";"0";"0";20.0;"cluster_4"
7.161784716751415E-4;0.08127430252049657;0.5687971582206509;0.28393481784830643;0.0;0.0;0.0;0.25;"0";"0";"0";21.0;"cluster_4"
0.002435006803695481;0.06037735849056604;0.08956974590722912;0.07047180274720587;0.14270724029380902;0.027642276422764227;0.0029498525073746312;0.125;"1";"1";"1";22.0;"cluster_5"
0.009525173673279382;0.08597654258031616;0.3320077821864471;0.2660182578278304;0.017838405036726127;0.1008130081300813;0.12979351032448377;0.5;"1";"1";"1";23.0;"cluster_1"
0.00501324930172599;0.07169811320754717;0.19386174986238713;0.2369251770326764;0.04931794333683106;0.03577235772357724;0.02753195673549656;0.375;"1";"1";"1";24.0;"cluster_1"
0.004511924371553391;0.06022437531871494;0.012095180051572159;0.0222677245968774;0.0;0.0;0.0;0.5;"1";"1";"1";25.0;"cluster_2"
0.0012891212490152547;0.08127430252049657;0.5420699166061844;0.41250746523334186;0.03252885624344176;0.06016260162601626;0.0019665683382497543;0.375;"0";"0";"1";26.0;"cluster_6"
0.0018620640263553678;0.08127430252049657;0.12227861609931391;0.10553707021585189;0.016789087093389297;0.022764227642276424;0.01671583087512291;0.25;"0";"0";"1";27.0;"cluster_2"
0.0065172240922437875;0.022692503824579296;0.02532877461752897;0.0114324716321133;0.02098635886673662;0.01951219512195122;0.0058997050147492625;0.375;"1";"0";"1";28.0;"cluster_2"
0.004798395760223448;0.05420703722590515;0.27845804472565516;0.56582202883713;0.0;0.0;0.0;0.625;"0";"0";"0";29.0;"cluster_4"
0.0027930960395330514;0.04446710861805202;0.4634674732086936;0.2541203280017399;0.0031479538300104933;0.016260162601626018;0.07177974434611603;0.375;"1";"0";"1";30.0;"cluster_6"
0.010671059227959608;0.20336562978072412;0.5721807908461526;0.7135909905298182;0.0472193074501574;0.030894308943089432;0.00983284169124877;0.625;"0";"0";"1";31.0;"cluster_6"
0.0037957458998782497;0.008312085670576237;0.06747034263705862;0.04641242214828086;0.0;0.0;0.0;0.375;"0";"0";"0";32.0;"cluster_0"
