"alexa_links_in";"alexa_load_time";"alexa_rank";"alexa_rank_dk";"external_links_count";"html5_tags";"img_count";"internal_links_count";"page_rank";"alexa_has_adult_content";"alexa_lang";"cms";"facebook_share";"has_analytics";"has_content_business";"has_content_film";"has_content_food";"has_content_games";"has_content_health";"has_content_music";"has_content_news";"has_content_shop";"has_content_sport";"has_content_technology";"has_content_transport";"has_content_xxx";"has_description";"has_js_angular";"has_js_backbone";"has_js_dojo";"has_js_ember";"has_js_handlebars";"has_js_jquery";"has_js_knockout";"has_js_modernizr";"has_js_mootools";"has_js_prototype";"has_js_underscore";"has_keywords";"html5";"server";"title_tag";"twitter_share";"xhtml";"id";"cluster"
-0.2612613862513098;0.8395019888683187;0.2143529844353881;6.9271165993769035E-15;-0.609592054246904;-0.15951686893449543;-0.5422993523241074;-0.3976221948411175;1.937470829189616;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";1.0;"cluster_6"
-0.2557577978407799;-0.41600840175325965;0.700770942973035;6.9271165993769035E-15;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;0.1591842903196693;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";2.0;"cluster_2"
-0.3245526529724033;-7.29446854053416E-15;2.9455095502653896;2.4212454176746663;0.9610342905434328;0.19630426774921808;0.43607818606123977;-0.34801531008280445;-0.43357788930364627;"0";"1";"11";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";3.0;"cluster_2"
-0.3314321384855657;-7.29446854053416E-15;1.5571471988882315;-0.42171971188615365;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;2.369153591801272E-15;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";4.0;"cluster_2"
-0.3314321384855657;-7.29446854053416E-15;1.6076736266462714;0.6339195994831881;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;-2.211864428173593;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";5.0;"cluster_2"
-0.28052394568816436;-7.29446854053416E-15;-0.46051131596869443;-0.947254433996432;0.21224731221315596;-0.15951686893449543;0.003771831890970093;-0.3108101465140697;-0.43357788930364627;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";6.0;"cluster_1"
-0.21860857606970327;0.4068364606085345;-0.33949050862902946;-0.06425454824785805;-0.46348727798733774;10.616780413486543;1.1186671663300864;2.4423719575723046;0.7519464699429849;"0";"0";"6";"0";"1";"1";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"6";"1";"0";"0";7.0;"cluster_0"
-0.31629727035660854;-7.29446854053416E-15;0.15455262726844352;0.16220775712526675;-0.5821974086982353;1.0096097230262775;-0.0644870661359146;0.4704982884293609;-1.6191022485502775;"0";"0";"6";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";8.0;"cluster_2"
11.177947125035033;-0.14895232419010623;-0.42005310692787445;6.9271165993769035E-15;-0.22606701656554265;-0.15951686893449543;-0.405781556270338;-0.3852204736515392;2.369153591801272E-15;"0";"1";"11";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"1";"0";"0";9.0;"cluster_7"
-0.2915311225092241;-7.29446854053416E-15;0.46315568598458906;0.5323669961768541;0.19398421518071018;1.0604413139810938;-0.33752265824345334;-0.3604170312723827;0.1591842903196693;"0";"0";"11";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";10.0;"cluster_3"
-0.26263728335394226;0.9149366601280406;0.8125370764021785;0.26833022758038577;2.221187985782191;-0.007022096070046774;3.575987495297935;-0.3976221948411175;0.1591842903196693;"0";"0";"11";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";11.0;"cluster_5"
-0.061756306369601874;-0.7801757802484689;0.6063901176468031;0.06725607303384447;0.8423241598325353;-0.15951686893449543;0.29956039000747037;-0.2612032617557566;0.7519464699429849;"0";"0";"11";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";12.0;"cluster_3"
-0.29428291671448903;-0.8434715388916838;-0.4434509444010026;-0.4801124587872957;0.23964195776182462;-0.15951686893449543;-0.3830285902613764;-0.23639981937660007;0.1591842903196693;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"1";13.0;"cluster_1"
0.6000501999966155;-0.19143851834788064;-0.830472020283542;-1.0670865058979062;0.13006337556714997;-0.15951686893449543;-0.15549893017176084;-0.3356135888932262;1.3447086495663005;"0";"0";"11";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";14.0;"cluster_6"
0.2533241301332334;0.29151679075171827;-0.35391528385549353;-0.5146403439114493;-0.38130334134133176;-0.15951686893449543;-0.4740404542972227;-0.3976221948411175;0.1591842903196693;"0";"0";"7";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";15.0;"cluster_1"
0.6468307014861194;2.101948900985044;0.05516537236252776;-0.27853054122422277;0.35835208847272215;-0.15951686893449543;-0.2237578281986455;-0.23639981937660007;1.3447086495663005;"0";"0";"11";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";16.0;"cluster_4"
-0.08927424842225125;-7.29446854053416E-15;-0.1762231378361864;6.9271165993769035E-15;-0.2717247591466571;-0.15951686893449543;-0.018981134117991467;-0.050374001532926135;0.7519464699429849;"0";"0";"6";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1";"1";"0";17.0;"cluster_1"
-0.2832757398934293;0.26984016107938436;1.4558079178336987;6.9271165993769035E-15;-0.363040244308886;-0.007022096070046774;-0.2237578281986455;-0.3108101465140697;-0.43357788930364627;"0";"0";"6";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";18.0;"cluster_2"
-0.18008345719599417;-0.6284393725421317;-0.4068943807201189;-0.6344724158129234;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;0.1591842903196693;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";19.0;"cluster_1"
-0.22136037027496822;-7.29446854053416E-15;0.6105974440435759;0.47448201229224374;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;0.1591842903196693;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";20.0;"cluster_2"
-0.32180085876713843;-7.29446854053416E-15;1.7921292664727475;0.17744064762121683;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;-1.026340068926962;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";21.0;"cluster_2"
-0.2887793283039592;-0.3553138386707248;-0.9445921383900562;-1.0929824197410214;0.6322985439594088;-0.15951686893449543;-0.1782518961807224;-0.3604170312723827;-1.6191022485502775;"0";"0";"11";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";22.0;"cluster_1"
-0.1525655151433448;0.07995288514973956;0.4398974508747406;0.07081041414956615;-0.45435572947111486;-0.15951686893449543;0.8456315742225478;1.2394050021832133;0.1591842903196693;"0";"0";"11";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";23.0;"cluster_1"
-0.2392470326091903;-0.16282536718039992;-0.3490123525796205;-0.10233677448773329;-0.18040927398442821;-0.15951686893449543;-0.0644870661359146;-0.050374001532926135;-0.43357788930364627;"0";"0";"11";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";24.0;"cluster_1"
-0.2488783123276176;-0.35791503423140486;-1.387025724745423;-1.3798685240814148;-0.609592054246904;-0.10868527797967921;-0.5650523183330689;-0.3976221948411175;0.1591842903196693;"0";"0";"11";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";25.0;"cluster_1"
-0.31079368194607865;-7.29446854053416E-15;1.6394981515994347;0.9426395135344434;-0.32651405024399444;-0.15951686893449543;0.27680742399850883;-0.372818752461961;-0.43357788930364627;"0";"0";"11";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";26.0;"cluster_2"
-0.2997865051250189;-7.29446854053416E-15;-0.7578017693845929;-0.884291819946505;-0.46348727798733774;-0.10868527797967921;-0.24651079420760708;-0.18679293461828703;-1.026340068926962;"0";"0";"6";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"6";"1";"0";"0";27.0;"cluster_1"
-0.21035319345390846;-0.9960750117849143;-1.3114527074651765;-1.4443544271809368;-0.4269610839224462;-0.15951686893449543;-0.2920167262255302;-0.3232118677036479;-0.43357788930364627;"0";"0";"11";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";28.0;"cluster_1"
-0.2433747239170877;-0.46022872628482075;0.13409125329878377;1.8550896542418542;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;0.7519464699429849;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";29.0;"cluster_3"
-0.28189984279079683;-0.6258381769814516;1.1906236010348208;6.9271165993769035E-15;-0.5821974086982353;-0.15951686893449543;-0.33752265824345334;0.5077034519980957;-0.43357788930364627;"0";"0";"6";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";30.0;"cluster_2"
-0.1305511615012253;2.0759369453782432;1.8114521591004888;2.7345351988747066;-0.198672371016874;-0.15951686893449543;-0.13274596416279927;-0.27360498294533486;0.7519464699429849;"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";31.0;"cluster_3"
-0.26263728335394226;-1.2405873944888406;-1.0707950817321534;-1.2361715904029522;-0.609592054246904;-0.15951686893449543;-0.5650523183330689;-0.3976221948411175;-0.43357788930364627;"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";32.0;"cluster_1"
-0.29290701961185656;-7.29446854053416E-15;0.2840506677714;-0.07644086064461812;0.12093182705092709;-0.15951686893449543;-0.5422993523241074;-0.3976221948411175;-1.026340068926962;"0";"0";"7";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";33.0;"cluster_2"
0.293225146109575;1.227947192596542;-1.270176139743062;-1.3534648472217679;-0.4908819235360064;-0.15951686893449543;-0.2920167262255302;1.5246445895435132;0.1591842903196693;"0";"0";"11";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";34.0;"cluster_1"
-0.1910906340170539;-0.8625469730033376;1.0888125602698946;2.001833166019507;-0.4269610839224462;0.04380949488476944;-0.5195463863151458;-0.3976221948411175;1.3447086495663005;"0";"0";"11";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";35.0;"cluster_3"
-0.2172326789670708;-7.29446854053416E-15;0.8889765911096782;6.9271165993769035E-15;1.2715069400950108;0.8571149501618289;0.27680742399850883;-0.3108101465140697;0.7519464699429849;"0";"0";"11";"0";"1";"1";"1";"0";"0";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";36.0;"cluster_5"
0.3496369273175062;-0.05617634919251722;-1.056254773515389;-0.88276853089691;0.42227292808628236;-0.15951686893449543;0.14028962794473945;-0.12478432867039571;1.3447086495663005;"0";"0";"11";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";37.0;"cluster_6"
