cms;;;;has_analytics;;;;has_js_jquery;;;;html5;;;;html5_tags;;;;id;;;;server;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
18;3.0;3.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0.0759878419453;0.0126646403242;0.00151975683891;0.00677765357663;5954.0;992.333333333;75.0;734.65834841;18;3.0;3.0;0.0;
88;11.0;11.0;0.0;8;1.0;1.0;0.0;8;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10473.0;1309.125;76.0;818.126585178;176;22.0;22.0;0.0;
1210;11.0;11.0;0.0;110;1.0;1.0;0.0;110;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;137184.0;1247.12727273;78.0;686.046289309;330;3.0;3.0;0.0;
110;11.0;11.0;0.0;10;1.0;1.0;0.0;0;0.0;0.0;0.0;10;1.0;1.0;0.0;0.0106382978723;0.00106382978723;0.0;0.00136778115502;13261.0;1326.1;80.0;702.17682246;220;22.0;22.0;0.0;
36;6.0;6.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0.0425531914894;0.00709219858156;0.00607902735562;0.00516617985166;5850.0;975.0;81.0;545.905058901;0;0.0;0.0;0.0;
132;11.0;11.0;0.0;0;0.0;0.0;0.0;12;1.0;1.0;0.0;12;1.0;1.0;0.0;0.0653495440729;0.00544579533941;0.0;0.00637145958871;12485.0;1040.41666667;92.0;639.711062164;36;3.0;3.0;0.0;
119;7.0;7.0;0.0;17;1.0;1.0;0.0;17;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22103.0;1300.17647059;95.0;711.591524872;51;3.0;3.0;0.0;
275;11.0;11.0;0.0;25;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27859.0;1114.36;111.0;665.633705877;0;0.0;0.0;0.0;
1089;11.0;11.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119049.0;1202.51515152;6.0;678.061115264;99;1.0;1.0;0.0;
12;1.0;1.0;0.0;12;1.0;1.0;0.0;0;0.0;0.0;0.0;12;1.0;1.0;0.0;0.227963525836;0.0189969604863;0.0;0.033581124307;16385.0;1365.41666667;121.0;744.46339269;12;1.0;1.0;0.0;
55;11.0;11.0;0.0;5;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6436.0;1287.2;122.0;652.011472292;40;8.0;8.0;0.0;
45;9.0;9.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;5;1.0;1.0;0.0;0.30547112462;0.061094224924;0.00759878419453;0.102740058534;6215.0;1243.0;126.0;899.949554142;15;3.0;3.0;0.0;
