"html5_tags";"cms";"has_analytics";"has_js_jquery";"html5";"server";"id";"cluster"
0.0;"11";"1";"1";"0";"1";34.0;"cluster_2"
0.0060790273556231;"11";"1";"0";"1";"1";35.0;"cluster_0"
0.030395136778115502;"11";"1";"1";"1";"3";36.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";37.0;"cluster_2"
0.001519756838905775;"9";"1";"0";"1";"3";38.0;"cluster_0"
0.0;"11";"1";"1";"0";"8";39.0;"cluster_2"
0.0;"6";"1";"0";"0";"3";40.0;"cluster_2"
0.010638297872340425;"6";"0";"0";"1";"3";41.0;"cluster_7"
0.0;"11";"1";"0";"0";"3";42.0;"cluster_2"
0.0;"11";"1";"1";"1";"1";43.0;"cluster_0"
0.0;"11";"0";"1";"0";"22";44.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";45.0;"cluster_5"
0.0486322188449848;"6";"1";"1";"1";"3";46.0;"cluster_0"
0.007598784194528876;"11";"0";"1";"1";"1";47.0;"cluster_7"
0.0;"11";"1";"1";"0";"1";48.0;"cluster_2"
0.0;"6";"1";"0";"0";"3";49.0;"cluster_2"
0.0;"11";"0";"0";"0";"1";50.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";51.0;"cluster_5"
0.004559270516717325;"11";"1";"0";"1";"1";52.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";53.0;"cluster_5"
0.0;"11";"1";"1";"0";"0";54.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";55.0;"cluster_2"
0.0;"11";"0";"0";"0";"1";56.0;"cluster_5"
0.0;"3";"1";"0";"0";"2";57.0;"cluster_2"
0.0;"6";"1";"1";"0";"3";58.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";59.0;"cluster_2"
0.0;"11";"1";"1";"1";"0";60.0;"cluster_0"
0.0;"11";"0";"1";"0";"3";61.0;"cluster_5"
0.0;"3";"1";"0";"0";"3";62.0;"cluster_2"
0.0;"3";"0";"1";"0";"1";63.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";64.0;"cluster_5"
0.0;"11";"1";"0";"0";"1";65.0;"cluster_2"
0.0;"11";"1";"1";"1";"3";66.0;"cluster_0"
0.03343465045592705;"11";"0";"0";"1";"1";67.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";68.0;"cluster_5"
0.0;"11";"0";"1";"0";"2";69.0;"cluster_5"
0.0;"3";"1";"0";"0";"3";70.0;"cluster_2"
0.007598784194528876;"6";"1";"0";"1";"3";71.0;"cluster_0"
0.022796352583586626;"11";"1";"1";"1";"4";72.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";73.0;"cluster_2"
0.0;"11";"1";"0";"0";"3";74.0;"cluster_2"
0.02127659574468085;"3";"1";"0";"1";"3";75.0;"cluster_0"
0.0;"11";"1";"1";"0";"22";76.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";77.0;"cluster_5"
0.0;"11";"1";"1";"0";"3";78.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";79.0;"cluster_5"
0.0;"11";"1";"0";"1";"22";80.0;"cluster_0"
0.015197568389057751;"6";"1";"0";"1";"0";81.0;"cluster_0"
0.0;"11";"1";"0";"0";"3";82.0;"cluster_2"
0.07446808510638298;"11";"1";"0";"1";"1";83.0;"cluster_0"
0.00303951367781155;"10";"1";"0";"1";"0";84.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";85.0;"cluster_5"
0.0;"11";"1";"0";"1";"3";86.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";87.0;"cluster_5"
0.0;"11";"1";"0";"0";"3";88.0;"cluster_2"
0.0;"11";"1";"0";"1";"3";89.0;"cluster_0"
0.0;"11";"0";"1";"0";"3";90.0;"cluster_5"
0.0;"11";"1";"0";"0";"3";91.0;"cluster_2"
0.0060790273556231;"11";"0";"1";"1";"3";92.0;"cluster_7"
0.0;"11";"0";"0";"0";"1";93.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";94.0;"cluster_5"
0.0;"7";"1";"1";"0";"3";95.0;"cluster_2"
0.0;"11";"0";"1";"0";"3";96.0;"cluster_5"
0.007598784194528876;"3";"0";"0";"1";"2";97.0;"cluster_7"
0.0;"11";"1";"1";"0";"1";98.0;"cluster_2"
0.0;"11";"0";"0";"0";"0";99.0;"cluster_5"
0.0;"11";"0";"0";"0";"3";100.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";101.0;"cluster_2"
0.0;"6";"1";"1";"1";"3";102.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";103.0;"cluster_5"
0.0;"11";"1";"1";"0";"3";104.0;"cluster_2"
0.0;"11";"0";"0";"1";"3";105.0;"cluster_7"
0.0;"11";"0";"1";"0";"3";106.0;"cluster_5"
0.07446808510638298;"6";"1";"1";"1";"6";107.0;"cluster_0"
0.00911854103343465;"6";"1";"1";"1";"3";108.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";109.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";110.0;"cluster_5"
0.0;"11";"1";"0";"0";"0";111.0;"cluster_2"
0.0;"11";"1";"0";"1";"1";112.0;"cluster_0"
0.0;"11";"1";"1";"0";"3";113.0;"cluster_2"
0.0;"11";"1";"0";"0";"3";114.0;"cluster_2"
0.09422492401215805;"11";"0";"1";"1";"0";115.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";116.0;"cluster_5"
0.0;"11";"1";"0";"0";"2";117.0;"cluster_2"
0.001519756838905775;"11";"1";"0";"1";"1";118.0;"cluster_0"
0.0;"11";"1";"1";"0";"1";119.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";120.0;"cluster_2"
0.007598784194528876;"1";"1";"0";"1";"1";121.0;"cluster_0"
0.0;"11";"1";"0";"0";"8";122.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";123.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";124.0;"cluster_5"
0.0;"11";"1";"0";"1";"3";125.0;"cluster_0"
0.007598784194528876;"9";"0";"0";"1";"3";126.0;"cluster_7"
0.0;"11";"1";"1";"0";"3";127.0;"cluster_2"
