alexa_lang,alexa_links_ins,alexa_load_time,alexa_rank,alexa_rank_dk,cms,external_links_count,facebook_share,has_analytics,has_description,has_keywords,html5,html5_tags,img_count,internal_links_count,server,title_tag,twitter_share,url,xhtml
0,4,2,4,2,11,0,0,1,0,0,0,0,4,0,1,1,1,http://www.boliga.dk,0
0,6,0,7,3,11,1,0,0,0,1,0,0,0,0,3,1,0,http://www.olddevils.dk,0
1,2,5,7,4,11,3,0,1,0,1,0,0,4,1,1,1,0,http://www.q.dk,0
0,4,4,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.btlc.dk,0
,4,3,6,3,11,1,0,0,0,0,0,0,2,0,3,1,0,http://www.love.dk,0
0,5,1,6,4,11,3,0,1,0,0,1,2,3,3,6,1,0,http://www.wp-danmark.dk,0
0,5,1,7,,11,1,0,1,0,0,1,1,2,0,3,1,0,http://www.erhvervslokaler-hinnerup.dk,0
,4,3,7,4,11,3,0,1,0,0,0,0,4,0,1,1,0,http://www.kl.dk,0
0,,,7,4,11,3,0,1,0,0,0,0,4,3,0,1,0,http://www.fagbladet3f.dk,0
0,,,6,4,11,3,0,1,0,0,0,0,4,1,3,1,1,http://www.eurogamer.dk,0
0,4,2,6,,11,0,0,1,0,1,0,0,0,1,3,1,0,http://www.nopaste.dk,0
0,5,1,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.omdoemme.dk,0
0,,,7,4,11,0,0,1,0,1,0,0,4,3,2,1,0,http://www.skunk-froe.dk,0
,3,5,7,4,11,3,0,1,0,0,0,0,4,0,1,0,0,http://www.viunge.dk,0
1,4,3,5,3,11,3,0,1,0,0,0,0,4,0,1,1,0,http://www.cdon.dk,0
1,5,1,7,,1,1,0,1,0,0,1,1,2,0,1,1,0,http://www.make.dk,0
,4,2,5,3,11,3,0,1,0,1,0,0,4,0,8,1,0,http://www.eksperten.dk,0
,5,1,6,3,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.skousen.dk,0
,4,3,6,3,11,3,0,1,0,1,1,0,3,3,3,1,0,http://www.billetnet.dk,0
,5,1,6,3,9,2,0,0,0,0,1,1,1,1,3,1,0,http://www.stofa.dk,0
0,4,3,6,2,11,3,0,1,0,0,0,0,4,2,3,1,0,http://www.tv3play.dk,0
0,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.rate-en-babe.dk,0
0,5,1,6,3,11,3,0,0,0,1,1,1,4,1,3,1,0,http://www.gigahost.dk,0
,4,3,6,4,11,3,0,1,0,1,1,1,4,1,0,1,0,http://www.coolshop.dk,0
0,,,7,4,11,0,0,0,0,0,1,0,0,0,2,1,0,http://www.bedre-selvvaerd.dk,0
0,,,7,4,11,0,0,1,0,0,0,0,2,1,2,1,0,http://www.ncsport.dk,0
,6,0,7,4,11,1,1,0,0,1,0,0,0,0,1,1,0,http://www.familieadvokaten.dk,0
0,,,7,5,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.dinrabat.dk,0
,4,2,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.dvdoo.dk,0
1,4,2,5,2,4,3,0,1,0,1,0,0,4,0,1,1,0,http://www.avisen.dk,0
0,4,4,7,3,11,3,0,1,0,1,1,1,4,2,0,1,0,http://www.brandos.dk,0
,,,7,4,11,1,0,1,0,0,0,0,2,0,1,1,0,http://www.elpristavlen.dk,0
0,4,4,6,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.victoriamilan.dk,0
,4,3,7,4,11,2,0,1,0,1,0,0,3,0,1,1,0,http://www.gouda.dk,0
0,5,1,5,2,3,2,0,1,0,1,0,0,4,3,0,1,0,http://www.dindebat.dk,0
0,4,2,7,4,11,2,0,1,0,1,1,0,1,0,1,1,0,http://www.besoeglaegen.dk,0
0,3,5,7,5,11,1,0,1,0,0,0,0,4,3,3,1,0,http://www.looklab.dk,0
0,5,1,7,3,7,1,0,1,0,1,0,0,4,0,3,1,0,http://www.kirkenettet.dk,0
,5,1,7,4,11,1,0,1,0,0,0,0,2,0,1,1,0,http://www.biozonen.dk,0
,4,3,7,3,3,2,0,0,0,0,0,0,2,3,1,1,0,http://www.dfdsseaways.dk,0
0,6,0,7,4,11,3,0,1,0,0,0,0,1,0,1,1,0,http://www.statsforvaltning.dk,0
,4,3,4,2,11,3,0,1,0,1,1,0,4,0,1,1,0,http://www.edbpriser.dk,0
0,4,3,7,4,11,3,0,1,0,1,1,0,4,0,0,1,0,http://www.smartkids.dk,0
4,4,2,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.eurotoys.dk,0
1,4,2,5,2,11,3,0,1,0,1,0,0,4,0,1,1,0,http://www.saxo.dk,0
,3,5,7,4,11,2,0,1,0,1,1,0,4,1,1,1,0,http://www.if.dk,0
,4,2,5,3,11,3,0,1,0,0,0,0,4,3,1,1,0,http://www.dtu.dk,0
0,,,6,,11,1,0,0,0,0,1,3,4,3,6,1,0,http://www.6705unit.dk,0
,4,4,2,1,11,0,0,0,0,0,1,1,0,0,21,1,0,http://www.blogspot.dk,0
,,,7,4,11,1,0,1,0,1,0,0,1,0,1,1,0,http://www.abusiness.dk,0
,,,7,4,11,3,0,0,0,0,1,1,0,0,1,1,0,http://www.cfl.dk,0
1,2,5,4,2,11,3,1,1,0,0,0,0,4,3,1,1,0,http://www.lokalavisen.dk,0
0,3,5,7,4,11,3,0,1,0,0,0,0,3,3,3,1,0,http://www.itriathlon.dk,0
0,2,5,6,3,11,2,1,1,0,0,1,0,4,3,12,1,0,http://www.trendsonline.dk,0
,4,4,2,1,11,1,1,0,0,1,1,3,4,3,22,1,0,http://www.dba.dk,0
,5,1,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.babyfryd.dk,0
0,4,2,7,4,11,1,0,1,0,0,0,0,1,0,22,1,0,http://www.contingent.dk,0
1,3,5,6,3,11,3,0,1,0,1,1,0,3,3,22,1,0,http://www.expedia.dk,0
,4,2,7,4,11,3,0,1,0,0,0,0,4,3,3,1,0,http://www.tv2fyn.dk,0
,4,2,1,1,11,2,0,0,0,0,1,3,4,3,1,1,0,http://www.dr.dk,0
,4,3,7,4,11,2,0,0,0,0,0,0,4,0,3,1,0,http://www.havenyt.dk,0
0,4,3,7,4,11,2,0,0,0,1,1,2,3,3,1,1,0,http://www.betsafe.dk,0
,4,2,7,4,11,3,0,1,0,0,0,0,3,0,3,1,0,http://www.helsbib.dk,1
,,,7,4,11,1,0,1,0,0,0,0,2,3,3,1,0,http://www.ma-kasse.dk,0
,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.brede-if.dk,0
,4,4,7,4,11,1,0,1,0,0,1,3,4,3,3,1,0,http://www.illvid.dk,0
,4,4,6,3,11,2,0,1,0,1,0,0,4,0,3,1,0,http://www.komogvind.dk,0
,5,1,7,4,9,1,0,0,0,0,1,2,0,0,3,1,0,http://www.fdim.dk,0
,6,0,7,3,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.ca.dk,0
,4,4,6,3,11,1,0,1,0,0,0,0,2,0,1,0,0,http://www.fitnessdk.dk,0
,4,2,7,4,11,1,0,1,0,1,0,0,1,3,7,1,0,http://www.netsite.dk,0
0,,,7,4,11,0,1,1,0,0,1,1,0,2,6,1,0,http://www.dampguiden.dk,0
1,5,1,6,,11,3,0,1,0,0,0,0,4,0,0,1,0,http://www.amix.dk,0
1,4,2,7,4,7,3,0,1,0,1,0,0,4,1,3,1,0,http://www.superliga.dk,0
1,1,5,3,2,11,3,0,0,0,0,0,0,4,1,3,1,0,http://www.sporten.dk,0
,6,0,7,5,11,0,0,1,0,0,1,1,2,0,1,1,0,http://www.tdchosting.dk,0
,4,3,6,3,11,3,0,0,0,0,1,1,2,0,1,1,0,http://www.bd.dk,0
0,4,3,7,4,11,0,0,0,0,1,1,1,1,0,3,1,0,http://www.planum.dk,0
1,5,1,7,,11,0,0,0,0,1,0,0,0,0,3,1,0,http://www.hay.dk,0
0,4,4,7,4,11,0,0,1,0,1,0,0,0,0,1,1,0,http://www.bingosjov.dk,0
1,6,0,7,4,11,0,0,0,0,0,0,0,0,0,0,1,0,http://www.survey-xact.dk,0
,4,2,7,4,11,3,1,1,0,0,1,2,4,3,0,1,1,http://www.vega.dk,0
,4,2,6,3,3,3,0,1,0,0,0,0,1,2,3,1,0,http://www.ni.dk,0
,4,3,6,3,11,3,0,1,0,1,0,0,4,0,1,1,0,http://www.bilzonen.dk,0
,5,1,7,4,11,3,0,1,0,1,1,1,4,0,20,1,0,http://www.blok4.dk,0
1,4,4,7,5,11,3,0,1,0,0,0,0,2,3,15,1,0,http://www.studyindenmark.dk,0
,4,2,4,2,11,1,0,0,0,0,1,2,0,0,3,1,0,http://www.cbs.dk,0
,4,2,7,4,3,1,0,0,0,1,0,0,2,2,1,1,0,http://www.aalborgkommune.dk,0
0,5,1,7,3,11,1,0,1,0,1,0,0,2,0,0,1,0,http://www.sexdebut.dk,0
0,,,7,4,11,1,0,1,0,0,1,1,1,0,3,1,0,http://www.dreamabout.dk,1
,5,1,7,4,11,0,0,0,0,0,0,0,2,1,22,1,0,http://www.sparekassen-vendsyssel.dk,0
,5,1,7,4,11,3,0,1,0,0,0,0,3,0,1,1,0,http://www.cancer.dk,0
0,3,5,7,,3,2,0,1,0,0,0,0,4,0,3,1,0,http://www.jansangill.dk,0
0,5,1,7,4,11,0,0,1,0,1,0,0,4,3,3,1,0,http://www.sexnews69.dk,0
,5,1,6,3,11,3,0,1,0,1,0,0,4,1,3,1,0,http://www.filmz.dk,0
,4,2,7,4,5,2,0,0,0,0,0,0,4,0,1,1,0,http://www.bridge.dk,0
0,,,7,5,11,3,0,1,0,0,1,0,4,0,1,1,0,http://www.jupiterekstra.dk,0
,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.johnfrandsen.dk,0
,3,5,4,2,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.tvguide.dk,0
,4,4,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.golfonline.dk,0
0,4,2,7,4,2,3,0,0,0,1,0,0,4,0,1,1,0,http://www.boxertv.dk,0
,3,5,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.vagcars.dk,0
0,4,3,6,3,11,3,0,1,0,1,1,0,4,2,0,1,1,http://www.sweetdeal.dk,0
,4,3,3,1,11,3,0,1,0,0,1,2,2,3,3,1,0,http://www.guloggratis.dk,0
,6,0,7,4,11,0,0,1,0,0,0,0,4,3,3,1,0,http://www.skatepro.dk,0
,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.lovejoy.dk,0
,4,2,6,3,11,2,0,0,0,0,0,0,4,1,3,1,0,http://www.bibliotek.dk,0
1,5,1,6,4,11,0,0,0,0,0,0,0,0,0,3,1,0,http://www.sexyzone.dk,0
0,4,3,7,4,11,1,0,1,0,0,0,0,1,1,3,1,0,http://www.netzy.dk,0
0,5,1,5,3,11,2,0,0,0,1,1,0,4,0,3,1,0,http://www.adservice.dk,0
,,,6,3,11,2,0,1,0,0,0,0,4,0,1,1,0,http://www.bornebiksen.dk,0
0,6,0,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.huskgaven.dk,0
,4,3,5,3,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.dk-kogebogen.dk,0
0,5,1,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.avformshop.dk,0
,5,1,5,3,11,3,0,1,0,1,1,0,4,1,0,1,0,http://www.smartguy.dk,0
,4,2,6,3,11,3,0,1,0,0,0,0,4,0,3,1,0,http://www.pokernet.dk,0
,6,0,5,2,11,1,0,0,0,0,1,2,0,2,17,1,0,http://www.e-conomic.dk,0
,4,2,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.laserdisken.dk,0
0,3,5,6,3,11,2,0,1,0,1,1,1,2,0,1,1,0,http://www.skyscanner.dk,0
0,5,1,6,3,3,2,0,0,0,1,1,1,2,0,2,1,0,http://www.adhdkompagniet.dk,0
0,4,4,7,4,3,3,1,1,0,0,1,1,4,0,0,1,0,http://www.boligmagasinet.dk,0
,4,2,7,4,3,2,0,0,0,1,0,0,1,0,1,1,0,http://www.hth.dk,0
0,4,2,7,4,1,1,0,1,0,0,0,0,4,2,1,1,0,http://www.faergen.dk,0
,5,1,6,3,9,3,1,1,0,1,0,0,2,0,3,1,0,http://www.danhostel-ribe.dk,0
,4,2,3,2,9,1,0,1,0,1,1,1,2,1,3,1,0,http://www.dibs.dk,0
0,,,6,3,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.minecraftforum.dk,0
1,6,0,5,3,11,0,0,0,0,1,0,0,0,0,3,1,0,http://www.boyfriend.dk,0
,4,3,7,4,11,3,0,1,0,1,0,0,4,0,1,1,0,http://www.canaldigital.dk,0
,4,2,3,1,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.bold.dk,0
0,4,2,7,4,11,2,0,1,0,0,0,0,4,1,1,1,0,http://www.loppeguf-biksen.dk,0
0,5,1,7,4,11,1,0,1,0,1,0,0,1,0,1,1,0,http://www.pixelprint.dk,0
1,5,1,6,4,1,3,0,1,0,0,1,1,4,0,1,1,0,http://www.punkt1.dk,0
,3,5,6,4,11,3,0,1,0,0,0,0,3,0,1,1,0,http://www.um.dk,0
1,,,6,3,11,0,0,1,0,0,1,0,3,3,0,1,0,http://www.flyttefirmaet.dk,0
,6,0,5,3,11,3,0,1,0,0,1,1,3,0,1,1,0,http://www.harald-nyborg.dk,0
,4,4,6,3,11,3,0,1,0,0,0,0,4,0,1,1,0,http://www.studieportalen.dk,0
1,2,5,6,3,9,3,0,1,0,0,0,0,4,0,3,1,0,http://www.golf.dk,0
,5,1,7,4,11,3,0,1,0,0,0,0,4,0,1,1,0,http://www.minisite.dk,0
0,4,4,7,4,11,3,0,1,0,0,0,0,3,0,1,1,0,http://www.foreignersindenmark.dk,0
1,4,3,7,,3,3,0,1,0,1,1,0,4,0,1,1,0,http://www.rice.dk,0
,4,2,7,3,11,3,0,0,0,1,0,0,2,0,22,1,0,http://www.ft.dk,0
0,4,2,6,,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.browserspy.dk,0
,6,0,7,4,11,3,0,1,0,0,0,0,4,0,1,0,0,http://www.skoda.dk,0
1,4,3,6,4,11,2,0,1,0,1,0,0,4,3,0,1,0,http://www.kop-kande.dk,0
0,4,3,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.grillguru.dk,0
,5,1,6,3,11,2,0,1,0,1,1,1,4,0,22,1,0,http://www.al-bank.dk,0
,3,5,5,2,11,2,0,1,0,0,1,1,4,3,1,1,0,http://www.silvan.dk,0
0,,,7,4,11,1,0,0,0,0,1,2,1,2,6,1,0,http://www.squiip.dk,0
1,4,2,7,4,11,3,0,1,0,0,0,0,4,2,3,1,0,http://www.imusic.dk,0
,3,5,7,5,5,1,0,0,0,1,0,0,0,0,1,1,0,http://www.forbrugerliv.dk,0
1,4,4,7,,11,2,0,0,0,0,1,2,4,2,3,1,0,http://www.mazhar.dk,0
,4,2,7,4,4,2,0,1,0,0,0,0,3,0,1,1,0,http://www.aab.dk,0
1,6,0,5,,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.kablog.dk,0
0,3,5,7,4,11,3,0,0,0,0,1,0,1,0,0,1,0,http://www.airbnb.dk,0
0,,,7,4,11,3,0,0,0,0,0,0,0,0,1,1,0,http://www.firmaindexet.dk,0
0,5,1,7,4,9,3,0,1,0,0,0,0,4,0,3,1,0,http://www.marketingcamp.dk,0
,4,2,6,3,4,3,0,0,0,0,0,0,2,0,1,1,0,http://www.ug.dk,1
,2,5,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.rejsefeber.dk,0
0,,,7,3,11,1,0,0,0,1,0,0,0,0,0,1,0,http://www.peeplo.dk,0
,4,4,4,2,9,3,0,1,0,0,1,3,4,0,3,1,0,http://www.ing.dk,0
,5,1,7,3,11,1,0,0,0,1,0,0,1,3,3,1,0,http://www.volkswagen.dk,1
0,,,7,4,11,0,1,1,0,1,0,0,1,0,2,1,1,http://www.dealfighter.dk,0
0,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.jonathanlindahl.dk,0
0,,,7,4,11,1,0,1,0,0,1,1,0,1,3,1,0,http://www.erikhejlskov.dk,0
,6,0,6,4,11,0,0,0,0,0,0,0,0,0,1,1,0,http://www.qmars.dk,0
,,,7,4,11,1,0,1,0,0,1,0,2,3,2,1,0,http://www.dklaw.dk,0
0,,,7,4,11,2,1,1,0,1,1,1,4,0,6,1,0,http://www.tilbudibyen.dk,0
0,,,7,,11,0,0,0,0,1,0,0,2,0,6,1,0,http://www.boardmembers.dk,0
0,3,5,7,,3,2,1,1,0,1,1,0,4,3,3,1,1,http://www.thelocals.dk,0
0,,,7,4,3,2,0,1,0,0,0,0,4,3,3,1,0,http://www.atcore.dk,0
0,5,1,7,4,11,0,0,0,0,0,0,0,0,0,3,1,0,http://www.akait.dk,0
0,6,1,7,4,11,3,0,1,0,1,1,0,4,0,3,1,0,http://www.afdoede.dk,0
0,4,2,4,2,11,0,0,0,0,0,0,0,0,0,1,1,0,http://www.nemadgang.dk,1
,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.landbobanken.dk,0
0,,,6,3,11,1,0,1,0,0,0,0,4,3,6,1,0,http://www.bilsektionen.dk,0
0,5,1,6,3,11,0,0,1,0,1,0,0,0,0,22,1,0,http://www.filmstriben.dk,0
,6,0,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.oem.dk,0
0,5,1,5,3,11,2,0,1,0,0,1,1,4,2,3,1,0,http://www.groupon.dk,0
0,,,7,3,11,0,0,1,0,0,1,2,2,2,6,1,0,http://www.womenswall.dk,0
0,4,4,6,3,11,3,0,1,0,0,1,3,2,0,1,1,0,http://www.bureaubiz.dk,1
1,5,1,6,3,11,3,0,1,0,0,0,0,4,0,1,1,0,http://www.baby.dk,0
0,,,7,,11,2,1,1,0,1,0,0,4,3,0,1,0,http://www.kostume-udklaedning.dk,0
0,6,0,7,4,11,0,0,1,0,0,0,0,0,0,3,1,0,http://www.campadre.dk,0
,3,5,6,,11,3,0,1,0,0,0,0,4,0,0,1,0,http://www.morten.dk,1
,3,5,6,3,9,3,0,1,0,0,0,0,4,1,3,1,0,http://www.tv2east.dk,0
,5,1,7,4,11,3,0,0,0,1,0,0,4,1,22,1,0,http://www.dansommer.dk,0
,4,3,7,4,11,3,0,1,0,1,0,0,4,1,3,1,0,http://www.boligstedet.dk,0
0,4,2,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.escort-pigerne.dk,0
,6,0,7,3,2,3,0,1,0,0,1,2,4,0,1,1,0,http://www.biltema.dk,0
,5,1,6,,11,0,0,1,0,0,0,0,0,0,3,1,0,http://www.dinbror.dk,0
0,4,3,6,4,3,1,0,1,0,1,0,0,1,0,3,1,0,http://www.hosdigellermig.dk,0
0,6,0,7,4,11,1,0,1,0,1,0,0,2,0,1,1,0,http://www.plusdamp.dk,0
,4,2,5,3,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.netdoktor.dk,0
,5,1,7,4,11,1,0,1,0,0,1,3,4,3,1,1,0,http://www.forbrugsforeningen.dk,0
0,4,2,6,4,11,1,0,1,0,1,0,0,3,3,0,1,0,http://www.wattoo.dk,0
,4,3,7,4,11,3,0,1,0,0,0,0,3,1,3,1,0,http://www.mybanker.dk,0
,3,5,5,2,11,3,0,1,0,1,0,0,4,0,22,1,0,http://www.valutakurser.dk,0
0,5,1,7,4,7,3,0,1,0,0,0,0,4,0,3,1,0,http://www.ucsyd.dk,0
0,,,7,4,11,3,0,1,0,1,1,0,4,0,4,1,0,http://www.sesport.dk,0
0,4,2,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.bygmaonline.dk,0
0,,,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.kitecph.dk,0
,5,1,6,3,11,3,0,1,0,1,0,0,4,0,3,1,0,http://www.sexaben.dk,0
0,4,2,5,2,11,0,0,1,0,0,0,0,3,0,3,1,0,http://www.marketers.dk,0
0,,,7,4,11,0,0,0,0,0,1,2,0,1,3,1,0,http://www.elektroniskcigaretinfo.dk,0
0,4,3,6,3,11,3,0,1,0,0,1,0,1,0,0,1,0,http://www.autouncle.dk,0
,4,2,7,4,11,3,0,1,0,0,1,2,3,0,1,1,0,http://www.gfforsikring.dk,0
1,4,2,7,4,0,3,0,1,0,1,0,0,2,0,1,1,0,http://www.hyundai.dk,0
0,3,5,6,3,11,1,0,0,0,0,0,0,2,0,22,1,0,http://www.djs-netbank.dk,0
0,,,7,4,11,0,1,1,0,0,0,0,1,2,3,1,0,http://www.varmepumpeoversigt.dk,0
0,3,5,7,3,11,0,0,1,0,1,0,0,4,1,3,1,0,http://www.endate.dk,0
,4,2,7,4,11,3,0,1,0,1,0,0,2,0,1,1,0,http://www.abakomp.dk,0
0,4,2,7,4,11,3,0,1,0,0,0,0,1,0,3,1,0,http://www.nelso.dk,0
0,4,4,7,4,0,3,0,1,0,0,1,0,4,3,1,1,0,http://www.delebarn.dk,0
0,,,6,3,11,3,0,1,0,0,0,0,4,0,1,1,0,http://www.bilen.dk,0
1,4,2,7,4,11,3,0,1,0,0,1,0,4,0,1,1,0,http://www.toysrus.dk,0
,5,1,7,4,11,3,0,0,0,1,0,0,4,0,22,1,0,http://www.dhl.dk,0
,6,0,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.mm-vision.dk,0
0,4,2,7,4,11,3,0,1,0,1,0,0,4,0,3,1,0,http://www.alatest.dk,0
0,,,7,3,11,1,0,0,0,0,1,0,0,0,3,1,0,http://www.ebay24.dk,0
,5,1,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.scope.dk,0
0,4,3,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.din-ecigaret.dk,0
,6,0,7,3,5,1,0,1,0,0,0,0,1,0,1,1,0,http://www.mikrov.dk,0
1,4,3,6,3,11,3,0,1,0,0,1,1,4,0,22,1,0,http://www.tv3.dk,0
,4,3,7,4,11,2,0,0,0,0,0,0,4,3,3,1,0,http://www.viasat.dk,0
0,4,2,7,4,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.lavpriskoekken.dk,0
,4,2,6,3,11,2,0,1,0,0,0,0,4,0,1,1,0,http://www.nyidanmark.dk,0
0,,,6,3,11,0,0,0,0,0,0,0,0,0,22,1,0,http://www.smartsmoke.dk,0
0,6,0,6,3,11,3,0,1,0,1,0,0,3,0,3,1,0,http://www.singlesex.dk,0
